"Região Habilitação Atual","UF Habilitação Atual","Sexo","Faixa Etária","Categoria","Qt. Condutor Histórico"
"Centro-Oeste","Distrito Federal","Masculino","18 a 21","A-Condutor Moto","120"
"Centro-Oeste","Distrito Federal","Masculino","18 a 21","AB-Condutor Moto/Carro","8.538"
"Centro-Oeste","Distrito Federal","Masculino","18 a 21","AC-Condutor Moto/Caminhão","11"
"Centro-Oeste","Distrito Federal","Masculino","18 a 21","AD-Condutor Moto/Ônibus","17"
"Centro-Oeste","Distrito Federal","Masculino","18 a 21","B-Condutor Carro","14.348"
"Centro-Oeste","Distrito Federal","Masculino","18 a 21","C-Condutor Caminhão","8"
"Centro-Oeste","Distrito Federal","Masculino","18 a 21","D-Condutor Ônibus","4"
"Centro-Oeste","Distrito Federal","Masculino","18 a 21","E-Condutor Carreta","1"
"Centro-Oeste","Distrito Federal","Masculino","22 a 25","A-Condutor Moto","525"
"Centro-Oeste","Distrito Federal","Masculino","22 a 25","AB-Condutor Moto/Carro","24.073"
"Centro-Oeste","Distrito Federal","Masculino","22 a 25","AC-Condutor Moto/Caminhão","26"
"Centro-Oeste","Distrito Federal","Masculino","22 a 25","AD-Condutor Moto/Ônibus","1.093"
"Centro-Oeste","Distrito Federal","Masculino","22 a 25","AE-Condutor Moto/Carreta","62"
"Centro-Oeste","Distrito Federal","Masculino","22 a 25","B-Condutor Carro","35.508"
"Centro-Oeste","Distrito Federal","Masculino","22 a 25","C-Condutor Caminhão","15"
"Centro-Oeste","Distrito Federal","Masculino","22 a 25","D-Condutor Ônibus","368"
"Centro-Oeste","Distrito Federal","Masculino","22 a 25","E-Condutor Carreta","23"
"Centro-Oeste","Distrito Federal","Masculino","26 a 30","A-Condutor Moto","1.114"
"Centro-Oeste","Distrito Federal","Masculino","26 a 30","AB-Condutor Moto/Carro","40.457"
"Centro-Oeste","Distrito Federal","Masculino","26 a 30","AC-Condutor Moto/Caminhão","38"
"Centro-Oeste","Distrito Federal","Masculino","26 a 30","AD-Condutor Moto/Ônibus","4.739"
"Centro-Oeste","Distrito Federal","Masculino","26 a 30","AE-Condutor Moto/Carreta","607"
"Centro-Oeste","Distrito Federal","Masculino","26 a 30","B-Condutor Carro","51.054"
"Centro-Oeste","Distrito Federal","Masculino","26 a 30","C-Condutor Caminhão","15"
"Centro-Oeste","Distrito Federal","Masculino","26 a 30","D-Condutor Ônibus","1.898"
"Centro-Oeste","Distrito Federal","Masculino","26 a 30","E-Condutor Carreta","129"
"Centro-Oeste","Distrito Federal","Masculino","31 a 40","A-Condutor Moto","2.558"
"Centro-Oeste","Distrito Federal","Masculino","31 a 40","AB-Condutor Moto/Carro","89.725"
"Centro-Oeste","Distrito Federal","Masculino","31 a 40","AC-Condutor Moto/Caminhão","156"
"Centro-Oeste","Distrito Federal","Masculino","31 a 40","AD-Condutor Moto/Ônibus","22.558"
"Centro-Oeste","Distrito Federal","Masculino","31 a 40","AE-Condutor Moto/Carreta","3.971"
"Centro-Oeste","Distrito Federal","Masculino","31 a 40","B-Condutor Carro","116.877"
"Centro-Oeste","Distrito Federal","Masculino","31 a 40","C-Condutor Caminhão","104"
"Centro-Oeste","Distrito Federal","Masculino","31 a 40","D-Condutor Ônibus","10.600"
"Centro-Oeste","Distrito Federal","Masculino","31 a 40","E-Condutor Carreta","1.179"
"Centro-Oeste","Distrito Federal","Masculino","31 a 40","XB-Condutor Ciclomotor/Carro","3"
"Centro-Oeste","Distrito Federal","Masculino","41 a 50","A-Condutor Moto","1.547"
"Centro-Oeste","Distrito Federal","Masculino","41 a 50","AB-Condutor Moto/Carro","55.337"
"Centro-Oeste","Distrito Federal","Masculino","41 a 50","AC-Condutor Moto/Caminhão","1.386"
"Centro-Oeste","Distrito Federal","Masculino","41 a 50","AD-Condutor Moto/Ônibus","24.765"
"Centro-Oeste","Distrito Federal","Masculino","41 a 50","AE-Condutor Moto/Carreta","5.071"
"Centro-Oeste","Distrito Federal","Masculino","41 a 50","B-Condutor Carro","109.125"
"Centro-Oeste","Distrito Federal","Masculino","41 a 50","C-Condutor Caminhão","1.245"
"Centro-Oeste","Distrito Federal","Masculino","41 a 50","D-Condutor Ônibus","21.838"
"Centro-Oeste","Distrito Federal","Masculino","41 a 50","E-Condutor Carreta","3.176"
"Centro-Oeste","Distrito Federal","Masculino","41 a 50","XB-Condutor Ciclomotor/Carro","2"
"Centro-Oeste","Distrito Federal","Masculino","41 a 50","XC-Condutor Ciclomotor/Caminhão","2"
"Centro-Oeste","Distrito Federal","Masculino","51 a 60","A-Condutor Moto","627"
"Centro-Oeste","Distrito Federal","Masculino","51 a 60","AB-Condutor Moto/Carro","28.843"
"Centro-Oeste","Distrito Federal","Masculino","51 a 60","AC-Condutor Moto/Caminhão","2.422"
"Centro-Oeste","Distrito Federal","Masculino","51 a 60","AD-Condutor Moto/Ônibus","15.250"
"Centro-Oeste","Distrito Federal","Masculino","51 a 60","AE-Condutor Moto/Carreta","2.614"
"Centro-Oeste","Distrito Federal","Masculino","51 a 60","B-Condutor Carro","78.022"
"Centro-Oeste","Distrito Federal","Masculino","51 a 60","C-Condutor Caminhão","2.348"
"Centro-Oeste","Distrito Federal","Masculino","51 a 60","D-Condutor Ônibus","20.178"
"Centro-Oeste","Distrito Federal","Masculino","51 a 60","E-Condutor Carreta","2.540"
