regiao,uf,sexo,idade,Cctegoria,quantidade_condutor
Centro-Oeste,Distrito Federal,Masculino,18 a 21,A-Condutor Moto,104
Centro-Oeste,Distrito Federal,Masculino,18 a 21,AB-Condutor Moto/Carro,10026
Centro-Oeste,Distrito Federal,Masculino,18 a 21,AC-Condutor Moto/Caminhão,7
Centro-Oeste,Distrito Federal,Masculino,18 a 21,AD-Condutor Moto/Ônibus,25
Centro-Oeste,Distrito Federal,Masculino,18 a 21,B-Condutor Carro,15212
Centro-Oeste,Distrito Federal,Masculino,18 a 21,C-Condutor Caminhão,7
Centro-Oeste,Distrito Federal,Masculino,18 a 21,D-Condutor Ônibus,7
Centro-Oeste,Distrito Federal,Masculino,18 a 21,E-Condutor Carreta,1
Centro-Oeste,Distrito Federal,Masculino,22 a 25,A-Condutor Moto,459
Centro-Oeste,Distrito Federal,Masculino,22 a 25,AB-Condutor Moto/Carro,24043
Centro-Oeste,Distrito Federal,Masculino,22 a 25,AC-Condutor Moto/Caminhão,22
Centro-Oeste,Distrito Federal,Masculino,22 a 25,AD-Condutor Moto/Ônibus,1118
Centro-Oeste,Distrito Federal,Masculino,22 a 25,AE-Condutor Moto/Carreta,70
Centro-Oeste,Distrito Federal,Masculino,22 a 25,B-Condutor Carro,33545
Centro-Oeste,Distrito Federal,Masculino,22 a 25,C-Condutor Caminhão,17
Centro-Oeste,Distrito Federal,Masculino,22 a 25,D-Condutor Ônibus,404
Centro-Oeste,Distrito Federal,Masculino,22 a 25,E-Condutor Carreta,23
Centro-Oeste,Distrito Federal,Masculino,26 a 30,A-Condutor Moto,1012
Centro-Oeste,Distrito Federal,Masculino,26 a 30,AB-Condutor Moto/Carro,40217
Centro-Oeste,Distrito Federal,Masculino,26 a 30,AC-Condutor Moto/Caminhão,31
Centro-Oeste,Distrito Federal,Masculino,26 a 30,AD-Condutor Moto/Ônibus,4399
Centro-Oeste,Distrito Federal,Masculino,26 a 30,AE-Condutor Moto/Carreta,568
Centro-Oeste,Distrito Federal,Masculino,26 a 30,B-Condutor Carro,51236
Centro-Oeste,Distrito Federal,Masculino,26 a 30,C-Condutor Caminhão,12
Centro-Oeste,Distrito Federal,Masculino,26 a 30,D-Condutor Ônibus,1681
Centro-Oeste,Distrito Federal,Masculino,26 a 30,E-Condutor Carreta,124
Centro-Oeste,Distrito Federal,Masculino,31 a 40,A-Condutor Moto,2430
Centro-Oeste,Distrito Federal,Masculino,31 a 40,AB-Condutor Moto/Carro,91245
Centro-Oeste,Distrito Federal,Masculino,31 a 40,AC-Condutor Moto/Caminhão,151
Centro-Oeste,Distrito Federal,Masculino,31 a 40,AD-Condutor Moto/Ônibus,21342
Centro-Oeste,Distrito Federal,Masculino,31 a 40,AE-Condutor Moto/Carreta,3930
Centro-Oeste,Distrito Federal,Masculino,31 a 40,B-Condutor Carro,113476
Centro-Oeste,Distrito Federal,Masculino,31 a 40,C-Condutor Caminhão,92
Centro-Oeste,Distrito Federal,Masculino,31 a 40,D-Condutor Ônibus,9233
Centro-Oeste,Distrito Federal,Masculino,31 a 40,E-Condutor Carreta,1045
Centro-Oeste,Distrito Federal,Masculino,31 a 40,XB-Condutor Ciclomotor/Carro,4
Centro-Oeste,Distrito Federal,Masculino,41 a 50,A-Condutor Moto,1646
Centro-Oeste,Distrito Federal,Masculino,41 a 50,AB-Condutor Moto/Carro,59850
Centro-Oeste,Distrito Federal,Masculino,41 a 50,AC-Condutor Moto/Caminhão,1102
Centro-Oeste,Distrito Federal,Masculino,41 a 50,AD-Condutor Moto/Ônibus,25705
Centro-Oeste,Distrito Federal,Masculino,41 a 50,AE-Condutor Moto/Carreta,5433
Centro-Oeste,Distrito Federal,Masculino,41 a 50,B-Condutor Carro,112088
Centro-Oeste,Distrito Federal,Masculino,41 a 50,C-Condutor Caminhão,994
Centro-Oeste,Distrito Federal,Masculino,41 a 50,D-Condutor Ônibus,21075
Centro-Oeste,Distrito Federal,Masculino,41 a 50,E-Condutor Carreta,3107
Centro-Oeste,Distrito Federal,Masculino,41 a 50,XC-Condutor Ciclomotor/Caminhão,2
Centro-Oeste,Distrito Federal,Masculino,51 a 60,A-Condutor Moto,668
Centro-Oeste,Distrito Federal,Masculino,51 a 60,AB-Condutor Moto/Carro,31100
Centro-Oeste,Distrito Federal,Masculino,51 a 60,AC-Condutor Moto/Caminhão,2328
Centro-Oeste,Distrito Federal,Masculino,51 a 60,AD-Condutor Moto/Ônibus,16088
Centro-Oeste,Distrito Federal,Masculino,51 a 60,AE-Condutor Moto/Carreta,2863
Centro-Oeste,Distrito Federal,Masculino,51 a 60,B-Condutor Carro,81352
Centro-Oeste,Distrito Federal,Masculino,51 a 60,C-Condutor Caminhão,2203
Centro-Oeste,Distrito Federal,Masculino,51 a 60,D-Condutor Ônibus,20219
Centro-Oeste,Distrito Federal,Masculino,51 a 60,E-Condutor Carreta,2592
Centro-Oeste,Distrito Federal,Masculino,51 a 60,XB-Condutor Ciclomotor/Carro,4
Centro-Oeste,Distrito Federal,Masculino,61 a 70,A-Condutor Moto,220
Centro-Oeste,Distrito Federal,Masculino,61 a 70,AB-Condutor Moto/Carro,13571
Centro-Oeste,Distrito Federal,Masculino,61 a 70,AC-Condutor Moto/Caminhão,961
Centro-Oeste,Distrito Federal,Masculino,61 a 70,AD-Condutor Moto/Ônibus,5951
Centro-Oeste,Distrito Federal,Masculino,61 a 70,AE-Condutor Moto/Carreta,901
Centro-Oeste,Distrito Federal,Masculino,61 a 70,B-Condutor Carro,57026
Centro-Oeste,Distrito Federal,Masculino,61 a 70,C-Condutor Caminhão,2048
Centro-Oeste,Distrito Federal,Masculino,61 a 70,D-Condutor Ônibus,14769
Centro-Oeste,Distrito Federal,Masculino,61 a 70,E-Condutor Carreta,1813
Centro-Oeste,Distrito Federal,Masculino,61 a 70,XB-Condutor Ciclomotor/Carro,2
Centro-Oeste,Distrito Federal,Masculino,61 a 70,XC-Condutor Ciclomotor/Caminhão,1
Centro-Oeste,Distrito Federal,Masculino,71 a 80,A-Condutor Moto,40
Centro-Oeste,Distrito Federal,Masculino,71 a 80,AB-Condutor Moto/Carro,3883
Centro-Oeste,Distrito Federal,Masculino,71 a 80,AC-Condutor Moto/Caminhão,133
Centro-Oeste,Distrito Federal,Masculino,71 a 80,AD-Condutor Moto/Ônibus,1114
Centro-Oeste,Distrito Federal,Masculino,71 a 80,AE-Condutor Moto/Carreta,129
Centro-Oeste,Distrito Federal,Masculino,71 a 80,B-Condutor Carro,36999
Centro-Oeste,Distrito Federal,Masculino,71 a 80,C-Condutor Caminhão,975
Centro-Oeste,Distrito Federal,Masculino,71 a 80,D-Condutor Ônibus,6466
Centro-Oeste,Distrito Federal,Masculino,71 a 80,E-Condutor Carreta,515
Centro-Oeste,Distrito Federal,Masculino,71 a 80,XB-Condutor Ciclomotor/Carro,1
Centro-Oeste,Distrito Federal,Masculino,81 a 90,A-Condutor Moto,18
Centro-Oeste,Distrito Federal,Masculino,81 a 90,AB-Condutor Moto/Carro,1067
Centro-Oeste,Distrito Federal,Masculino,81 a 90,AC-Condutor Moto/Caminhão,33
Centro-Oeste,Distrito Federal,Masculino,81 a 90,AD-Condutor Moto/Ônibus,279
Centro-Oeste,Distrito Federal,Masculino,81 a 90,AE-Condutor Moto/Carreta,8
Centro-Oeste,Distrito Federal,Masculino,81 a 90,B-Condutor Carro,18612
Centro-Oeste,Distrito Federal,Masculino,81 a 90,C-Condutor Caminhão,422
Centro-Oeste,Distrito Federal,Masculino,81 a 90,D-Condutor Ônibus,3093
Centro-Oeste,Distrito Federal,Masculino,81 a 90,E-Condutor Carreta,120
Centro-Oeste,Distrito Federal,Masculino,91 a 100,AB-Condutor Moto/Carro,211
Centro-Oeste,Distrito Federal,Masculino,91 a 100,AC-Condutor Moto/Caminhão,4
